Commit SHA, Old function signature, New function signature
022c04d0d3d004cb3147d68e6e42b776ce04f0eb, "java.lang.String getResolvedFullyQualifiedName(java.util.List<TypeVariable> typeParameters)", "java.lang.String getResolvedFullyQualifiedName(com.thoughtworks.qdox.model.Type base, java.util.List<TypeVariable<D>> typeParameters)"
3ed80d3178976e8d4538a309195ee5fa629f53e0, "java.lang.String getResolvedValue(TypeVariable[] typeParameters)", "java.lang.String getResolvedValue(com.thoughtworks.qdox.model.Type base, java.util.List<TypeVariable<D>> typeParameters)"
b7a5723ccf091424b342136435af1fcda315bc71, "java.lang.String getResolvedGenericFullyQualifiedName(java.util.List<TypeVariable> typeParameters)", "java.lang.String getResolvedGenericFullyQualifiedName(com.thoughtworks.qdox.model.Type base, java.util.List<TypeVariable<D>> typeParameters)"
2bc49af7e3a3a74982873c7f109526cbadcad672, "java.lang.String getResolvedGenericValue(TypeVariable[] typeParameters)", "java.lang.String getResolvedGenericValue(com.thoughtworks.qdox.model.Type base, java.util.List<TypeVariable<D>> typeParameters)"
15454d141817df4febb9c7eb92d61ad1f6d215b7, "java.lang.String getGenericValue(TypeVariable[] typeVariableList)", "java.lang.String getGenericValue(com.thoughtworks.qdox.model.Type base, java.util.List<TypeVariable<D>> typeVariableList)"
afd5eae2da50b7b0bae0afd6faf416ab35c37315, "com.thoughtworks.qdox.model.Type[] getActualTypeArguments()", "java.util.List<com.thoughtworks.qdox.model.JavaType> getActualTypeArguments(com.thoughtworks.qdox.model.JavaType base)"
93def106b573199cfed94cc0d5a8b2e38111b63f, "int getDimensions()", "int getDimensions(com.thoughtworks.qdox.model.JavaType type)"
93def106b573199cfed94cc0d5a8b2e38111b63f, "com.thoughtworks.qdox.model.JavaClass getDeclaringClass()", "com.thoughtworks.qdox.model.JavaClass getDeclaringClass(com.thoughtworks.qdox.model.JavaType type)"
6cace3354e774cace7b95927e48e816f1528c491, "com.thoughtworks.qdox.model.JavaClass newJavaClass(java.lang.String fullname)", "com.thoughtworks.qdox.model.JavaClass newJavaClass(java.lang.String fullname, int dimensions)"
a7345b7eada95c414c50cb7802a59af4c5874ad9, "com.thoughtworks.qdox.model.Type createUnresolved(java.lang.String name, int dimensions, JavaClassParent context)", "com.thoughtworks.qdox.model.impl.DefaultJavaType createUnresolved(com.thoughtworks.qdox.parser.structs.TypeDef typeDef, int dimensions, com.thoughtworks.qdox.model.impl.JavaClassParent context, com.thoughtworks.qdox.type.TypeResolver typeResolver)"
7f97a2399535d3de7ddc7b6d9a89f51c8e5f1c50, "com.thoughtworks.qdox.model.JavaModule resolveJavaModule()", "com.thoughtworks.qdox.model.JavaModule resolveJavaModule(java.io.File sourceFolder)"
7d4a4b765aeeb759761114811bb8c3e6e9107537, "void setupLex(int token, java.lang.String value)", "void setupLex(int token, java.lang.String value, java.lang.String codeBody)"
